,energy,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,information_technology,communication_services,utilities,real_estate
energy,1.0,-0.07755728992735006,0.17399188175583474,0.08027337492874068,0.3366124965446351,-0.12286250248750771,0.27965659506174145,0.24398650670271307,-0.05308425993644356,0.23243662624488212,-0.07446155681830911
materials,-0.07755728992735006,0.9999999999999998,-0.06320042509848682,0.3306798662940675,-0.030221975427459174,0.14120116012218864,0.0817253564690095,0.16939330284228013,0.18880161895948355,0.0807001853856435,0.3038027899687781
industrials,0.17399188175583474,-0.06320042509848682,1.0,0.2158355009001815,0.21059099646761786,0.033834199983700436,0.002984201094667538,0.05736303846550793,0.005343645888917565,0.3426484304069053,0.0056495789063521155
consumer_discretionary,0.08027337492874068,0.3306798662940675,0.2158355009001815,1.0,0.07735626296496295,0.03338047394957314,0.09649798376300799,0.2942797696002588,0.11895913730017596,0.21841474196660676,0.2004509838638455
consumer_staples,0.3366124965446351,-0.030221975427459174,0.21059099646761784,0.07735626296496295,1.0,-0.19958652444169775,0.058992067761451834,0.19296502596661355,-0.1416883623930346,0.05995120949643955,-0.04546351916944899
health_care,-0.1228625024875077,0.1412011601221886,0.033834199983700436,0.033380473949573136,-0.19958652444169775,1.0,-0.13004158759840637,0.011412362332755997,0.48769056380594966,0.2380099946164233,0.2595547702624036
financials,0.2796565950617414,0.0817253564690095,0.0029842010946675374,0.096497983763008,0.05899206776145183,-0.13004158759840637,1.0,0.2506202104977731,-0.036748609780018704,0.09763179154289907,0.08623194332576346
information_technology,0.24398650670271307,0.16939330284228013,0.05736303846550793,0.2942797696002588,0.19296502596661355,0.011412362332755997,0.2506202104977731,1.0,-0.014771134633998944,0.19222938561837108,0.14451500911368967
communication_services,-0.053084259936443556,0.18880161895948355,0.005343645888917565,0.11895913730017599,-0.14168836239303456,0.4876905638059496,-0.036748609780018704,-0.014771134633998942,1.0,0.3163615927657982,0.09665897530719139
utilities,0.23243662624488212,0.0807001853856435,0.3426484304069053,0.2184147419666068,0.05995120949643955,0.23800999461642328,0.09763179154289905,0.19222938561837108,0.3163615927657982,1.0,0.05884737127668243
real_estate,-0.07446155681830911,0.303802789968778,0.0056495789063521155,0.2004509838638455,-0.04546351916944899,0.25955477026240364,0.08623194332576346,0.14451500911368967,0.09665897530719138,0.058847371276682436,1.0
