,energy,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,information_technology,communication_services,utilities,real_estate
energy,1.0,0.5904961470882866,0.6010423178417476,0.4802181274349195,0.4015877157221507,0.3733838784463321,0.5554221268177718,0.35265163392850024,0.4055910672598115,0.4227521888896473,0.4994610794918558
materials,0.5904961470882866,1.0,0.7360195892421595,0.6842966212818221,0.5448055338176229,0.5007382455532088,0.6488326689647588,0.5930243121353109,0.53081179317484,0.47871754904820224,0.6349322945167514
industrials,0.6010423178417476,0.7360195892421596,1.0,0.6706044052219289,0.49995950159829466,0.4794758746523015,0.6862923480764547,0.5906726668318273,0.5439121745796992,0.45783018374079865,0.622541543109157
consumer_discretionary,0.4802181274349195,0.6842966212818221,0.6706044052219289,1.0,0.5706549403127319,0.5604096345288162,0.5835448324584596,0.5804100931305045,0.5701649085179827,0.4191793382527958,0.6155888161560434
consumer_staples,0.4015877157221507,0.5448055338176229,0.4999595015982947,0.5706549403127319,1.0,0.5829047212804342,0.45699412662089917,0.3446307275652547,0.4767383263479749,0.4696348988660306,0.5824348956495488
health_care,0.37338387844633203,0.5007382455532088,0.47947587465230146,0.5604096345288161,0.5829047212804342,1.0,0.4373481222064485,0.3682878156078524,0.4851116795563796,0.4120111502144259,0.5170255812472798
financials,0.5554221268177718,0.6488326689647588,0.6862923480764547,0.5835448324584595,0.45699412662089917,0.4373481222064484,1.0,0.46144505451298545,0.4927296102985367,0.46601464699827344,0.5336918057133027
information_technology,0.35265163392850024,0.5930243121353108,0.5906726668318273,0.5804100931305045,0.34463072756525465,0.3682878156078524,0.46144505451298545,1.0,0.506436349715387,0.2847710266754993,0.43176210717122604
communication_services,0.40559106725981153,0.5308117931748398,0.5439121745796992,0.5701649085179828,0.4767383263479749,0.48511167955637957,0.49272961029853674,0.5064363497153871,1.0,0.39775750191739195,0.5120736886051663
utilities,0.4227521888896472,0.47871754904820224,0.4578301837407986,0.41917933825279585,0.4696348988660306,0.4120111502144259,0.4660146469982734,0.2847710266754993,0.39775750191739195,1.0,0.4864759422577371
real_estate,0.4994610794918558,0.6349322945167514,0.6225415431091569,0.6155888161560436,0.5824348956495488,0.5170255812472798,0.5336918057133027,0.43176210717122604,0.5120736886051663,0.48647594225773716,1.0
